user_id,item_id
8,0002005018
8,074322678X
8,0887841740
8,1552041778
8,1567407781
8,1575663937
99,0312252617
99,0312261594
99,0316748641
99,0385235941
99,0446677450
99,0553347594
114,0312953453
114,0446608653
114,0446612545
114,0446612618
114,0451208080
114,0553584383
114,0671027360
160,8573022876
160,8573024771
160,9722322702
160,9727110843
160,9727114962
183,100940/86
183,127420/98
183,13440/86
183,1351394403
183,140274871
183,15019/87
183,16560/87
183,16785/87
183,18128/87
183,18678/87
183,19973/88
183,203671/03
183,2070567842
183,23950/88
183,30623/89
183,36388/90
183,40052/90
183,40614/2098
183,71837/93
183,75666/95
183,77556/94
183,80651/94
183,8401422825
183,8440630794
183,847223973X
183,8476409419
183,8497890663
183,8585362693
183,8585443464
183,9714511081
183,9721028800
183,9721033561
183,9721035130
183,9722013831
183,9722020242
183,9722105507
183,9722113747
183,9722319914
183,9722330950
183,9722902628
183,972370403X
183,9723706504
183,9724114384
183,9724128725
183,9724129411
183,9724131009
183,9724502023
183,9724508552
183,9724509524
183,97245146089
183,9726080630
183,9726081327
183,9726081378
183,9726081424
183,9726101034
183,9726593855
183,9726653525
183,9726991366
183,9726993474
183,9727100112
183,9727110541
183,9728305729
183,9728313039
183,9728440006
183,9728440030
183,9728440057
183,9728440138
183,9728440170
183,9728440200
183,9728440324
183,9728440383
183,9728440405
183,9728440456
232,0007123817
232,0486284735
232,0671021745
232,0671047612
242,0553278223
242,3150000335
242,3257202083
242,3257203136
242,3257203659
242,3257207522
242,3257208626
242,3257208634
242,3257208640
242,3257208650
242,3257208669
242,3257210450
242,3257212054
242,3257212429
242,3257214154
242,3257216416
242,3257233051
242,342311360X
242,3423114185
242,3451040395
242,3453212150
242,3492045642
242,3498020862
242,3499110695
242,3499151502
242,349917281X
242,3518370324
243,0060915544
243,0060977493
243,0140272100
243,0316601950
243,0316776963
243,0316899984
243,0375400117
243,0385316895
243,0385720106
243,0425163407
243,044023722X
243,0446364800
243,0446606383
243,0449006522
243,0553580388
244,0060977493
244,0060987103
244,0151008116
244,0375704965
244,0525947647
244,0804111359
244,155874262X
254,0060502320
254,0060934700
254,0060976977
254,0064471047
254,0066238501
254,0142001740
254,0312863934
254,0373033605
254,0373162669
254,0373226063
254,0373226144
254,0373243944
254,0373243979
254,0373709889
254,0373810431
254,0373810601
254,0373834446
254,0373834489
254,0373836023
254,0375756469
254,037582345X
254,0375823468
254,0380730448
254,0380789035
254,0380810492
254,0380817845
254,0380973634
254,0380973650
254,0380973839
254,0380977281
254,038097827X
254,0399146431
254,0439064864
254,0439064872
254,0439136350
254,0439136369
254,0439139597
254,0446341932
254,0451167317
254,0451406176
254,0451409256
254,0451524934
254,0451526341
254,0553263633
254,0553280325
254,0590353403
254,0618002219
300,0312963009
300,0345430476
300,0380728729
300,038081840X
300,0449912302
300,055329198X
300,0671018930
383,0380815923
383,0385416342
383,0425098109
383,0517577402
383,0712695230
383,0743411269
383,0891091963
388,0060973897
388,006101351X
388,0140104682
388,039456894X
388,0449002632
388,0449213773
388,0452279690
388,0553569058
388,0679725393
388,0802114369
388,0819154946
388,0897322339
388,0940322978
392,8427007450
392,8429725792
392,8432295914
392,8473861345
392,8474103347
392,847592543X
392,8475960650
392,8475960936
392,8476021550
392,8476021569
392,8476021844
392,8477270120
392,8477397856
392,8478092943
392,8478098267
392,8478884963
392,8483002523
408,0312283784
408,0553582682
408,0590947257
408,0801491827
424,0316314927
424,0375414746
424,0425156842
424,0452277337
424,0671021001
446,0026329859
446,0060925000
446,0060932759
446,0061000280
446,0393048977
446,0451523318
446,0486281965
446,0553145460
446,0684824442
472,0030096189
472,0312965745
472,0345374657
472,0395710901
472,080521061X
487,0345441133
487,0385335407
487,0385490992
487,0486272664
487,0671888587
503,0140179836
503,0345348656
503,0373076746
503,0385483724
503,0385496095
503,0395798671
503,0439099404
503,0440241006
503,0440508827
503,0515131679
503,068484267X
503,0805009086
505,006017143X
505,0345313860
505,0385306032
505,038549825X
505,042517736X
505,0553202294
505,0671868713
505,0679401377
505,0805056491
507,0020427859
507,0060558865
507,0140230165
507,0142001740
507,0312312628
507,0312986769
507,0345369068
507,034546074X
507,0375815147
507,0425115844
507,0425168948
507,0451184718
507,0553294849
507,0553297341
507,0553564528
507,0553571842
507,0553575538
507,0553576801
507,055357695X
507,0553580523
507,0553583441
507,0553583468
507,0590021117
507,0679893105
507,0689710879
507,0689710887
507,0689710895
507,0689711522
507,0743260244
507,0743444523
566,0312206763
566,0385314019
566,0618231617
566,0743444167
567,0140185216
567,0425174484
567,0486272745
567,0684717255
595,0060083298
595,0140293248
595,0446610399
595,0446672211
595,0807070718
625,2070334368
625,2070384349
625,2070417743
625,207053880X
625,2253004022
625,2253007102
625,2266029460
625,2266033689
626,3423105410
